lat lon wh time ws
-14.495191 157.68669 1.1725 9525.500346589251 4.0649996
-14.508103 159.79764 1.3410001 9523.97101173678 5.795
-15.636679 158.13321 1.1040001 9525.5006181731 5.3900003
-12.487507 159.75186 2.0445 9528.46675338177 6.8999996
-13.986454 159.99968 1.325 9523.971135706059 3.53
-13.059564 159.96983 3.4220002 9528.466889105854 8.28
-15.500918 159.40955 1.2085 9523.970775553375 5.16
    
-15.369389 160.86432 2.423 9528.46743819624 7.325
-12.357508 156.86633 0.9585 9525.499838867225 2.17
    
-13.556757 160.16037 2.4060001 9528.467007197673 7.99
-13.501469 157.30292 1.0885 9525.500110451016 3.685
-12.85503 157.05554 0.997 9525.499956958927 3.36
-15.140556 157.93835 1.188 9525.500500081398 5.3599997
-14.500751 160.52507 2.403 9528.467231535702 7.22
-15.511285 156.41061 2.115 9529.1963714374 6.72
-14.506773 156.30377 1.9130001 9529.1965625452 6.4799995
    
-13.506805 160.69968 7.3515005 9526.686743344937 42.98
-15.508128 160.48666 7.9305005 9526.687125470198 23.18
-12.508323 157.84521 0.845 9525.20033216686 1.41
-12.906148 157.01042 4.702 9527.198562011705 18.22
-15.493672 158.1616 1.2010001 9525.199764359044 4.62
-14.50706 159.71484 2.2380002 9528.685244321474 7.2999997
-14.507536 160.59334 7.9090004 9526.686934317113 35.7
-15.489555 157.2844 9.133 9527.198070656159 29.06
-13.506197 159.82121 1.9105 9528.68505334924 6.64
-12.41806 156.9589 4.9305 9527.198654830398 25.04
-12.497305 156.0911 2.0815 9529.196944715688 6.125
-15.507788 159.60814 2.5025 9528.68543547456 8.75
-12.505206 159.92728 1.6350001 9528.684862196213 9.96
-13.484453 157.94833 0.873 9525.20014652959 1.4699999
-13.509032 157.07416 5.314 9527.198447356059 24.705
-13.502111 156.19728 1.9110001 9529.19675360783 6.66
-12.505943 160.80573 4.519 9526.686552191852 30.25
-14.489143 158.05481 1.1860001 9525.199955444376 2.3
-12.45241 158.60977 1.0410001 9522.9723977322 4.6800003
-12.487484 158.6882 3.0970001 9526.482735460042 12.95
-14.322248 156.59991 1.7820001 9523.489292444312 10.17
-15.467758 159.36945 4.4890003 9526.482155219186 17.26
-14.474576 159.141 4.472 9526.482348632766 17.96
-13.911661 159.01218 4.0035005 9526.482458224811 17.539999
-15.679586 156.91219 1.5380001 9523.489028094278 11.994999
-15.5651455 157.89804 1.8170002 9522.973003743507 7.4849997
-12.500715 156.18501 1.6570001 9523.489646945556 7.89
-15.511425 160.41676 2.275 9525.966079282458 10.61
-12.994876 160.993 2.16 9525.965589373605 10.61
-15.035489 158.02014 1.654 9522.972900481021 7.0649996
-14.472649 158.14943 1.5710001 9522.972790979431 6.75
-14.584459 160.63008 2.361 9525.965898799244 10.9
-13.557922 160.86485 2.304 9525.965698875138 11.355
-13.527493 156.41833 1.784 9523.489447157132 8.5
-13.47921 158.37648 1.3060001 9522.972597475396 5.56
-13.414909 158.89886 3.8260002 9526.482554976828 16.01
